ts,u,i,label,idx
1369443.933485,12.0,8,unan_i8.0,0
1369445.029521,8.0,1,u8.0_i1.0,1
1369446.130646,1.0,5,u1.0_i5.0,2
1369447.224781,5.0,10,u5.0_i10.0,3
1369448.291732,10.0,4,u10.0_i4.0,4
1369449.447141,4.0,6,u4.0_i6.0,5
1369450.533366,6.0,2,u6.0_i2.0,6
1369451.607357,2.0,11,u2.0_i11.0,7
1369452.678454,11.0,11,u11.0_i11.0,8
1369453.784594,11.0,3,u11.0_i3.0,9
1369454.867692,3.0,7,u3.0_i7.0,10
1369455.962685,7.0,9,u7.0_i9.0,11
1369457.032753,9.0,12,u9.0_i12.0,12
1369463.136696,12.0,5,u12.0_i5.0,13
1369464.247992,5.0,10,u5.0_i10.0,14
1369465.330021,10.0,7,u10.0_i7.0,15
1369466.403984,7.0,8,u7.0_i8.0,16
1369467.470142,8.0,6,u8.0_i6.0,17
1369468.533177,6.0,3,u6.0_i3.0,18
1369469.600088,3.0,4,u3.0_i4.0,19
1369470.699174,4.0,9,u4.0_i9.0,20
1369471.785391,9.0,1,u9.0_i1.0,21
1369472.863472,1.0,2,u1.0_i2.0,22
1369473.946558,2.0,11,u2.0_i11.0,23
1369475.008513,11.0,11,u11.0_i11.0,24
1369476.059405,11.0,12,u11.0_i12.0,25
1369482.159515,12.0,5,u12.0_i5.0,26
1369483.225553,5.0,11,u5.0_i11.0,27
1369484.320575,11.0,6,u11.0_i6.0,28
1369485.430778,6.0,11,u6.0_i11.0,29
1369486.489717,11.0,3,u11.0_i3.0,30
1369487.551761,3.0,8,u3.0_i8.0,31
1369488.626748,8.0,1,u8.0_i1.0,32
1369489.692796,1.0,9,u1.0_i9.0,33
1369490.758866,9.0,2,u9.0_i2.0,34
1369491.845855,2.0,7,u2.0_i7.0,35
1369492.904832,7.0,4,u7.0_i4.0,36
1369493.987928,4.0,10,u4.0_i10.0,37
1369495.045832,10.0,12,u10.0_i12.0,38
1369501.15287,12.0,2,u12.0_i2.0,39
1369502.208829,2.0,5,u2.0_i5.0,40
1369503.290923,5.0,6,u5.0_i6.0,41
1369504.373014,6.0,9,u6.0_i9.0,42
1369505.435945,9.0,10,u9.0_i10.0,43
1369506.513915,10.0,11,u10.0_i11.0,44
1369507.573991,11.0,11,u11.0_i11.0,45
1369508.650913,11.0,1,u11.0_i1.0,46
1369509.710019,1.0,4,u1.0_i4.0,47
1369510.788124,4.0,3,u4.0_i3.0,48
1369511.858083,3.0,7,u3.0_i7.0,49
1369512.930157,7.0,8,u7.0_i8.0,50
1369513.992156,8.0,12,u8.0_i12.0,51
1369520.096117,12.0,2,u12.0_i2.0,52
1369521.150058,2.0,4,u2.0_i4.0,53
1369522.2331,4.0,1,u4.0_i1.0,54
1369523.295141,1.0,8,u1.0_i8.0,55
1369524.366254,8.0,9,u8.0_i9.0,56
1369525.452346,9.0,6,u9.0_i6.0,57
1369526.519271,6.0,3,u6.0_i3.0,58
1369527.609388,3.0,7,u3.0_i7.0,59
1369528.676276,7.0,11,u7.0_i11.0,60
1369529.735337,11.0,5,u11.0_i5.0,61
1369530.80039,5.0,10,u5.0_i10.0,62
1369531.884466,10.0,11,u10.0_i11.0,63
1369532.934353,11.0,12,u11.0_i12.0,64
1369539.062472,12.0,1,u12.0_i1.0,65
1369540.128454,1.0,6,u1.0_i6.0,66
1369541.184353,6.0,5,u6.0_i5.0,67
1369542.25841,5.0,11,u5.0_i11.0,68
1369543.33649,11.0,3,u11.0_i3.0,69
1369544.430556,3.0,7,u3.0_i7.0,70
1369545.506612,7.0,2,u7.0_i2.0,71
1369546.544527,2.0,10,u2.0_i10.0,72
1369547.614511,10.0,4,u10.0_i4.0,73
1369548.685553,4.0,9,u4.0_i9.0,74
1369549.784712,9.0,8,u9.0_i8.0,75
1369550.854724,8.0,11,u8.0_i11.0,76
1369551.912766,11.0,12,u11.0_i12.0,77
1369558.028672,12.0,2,u12.0_i2.0,78
1369559.106817,2.0,9,u2.0_i9.0,79
1369560.19789,9.0,5,u9.0_i5.0,80
1369561.276848,5.0,8,u5.0_i8.0,81
1369562.362952,8.0,10,u8.0_i10.0,82
1369563.413838,10.0,1,u10.0_i1.0,83
1369564.483823,1.0,4,u1.0_i4.0,84
1369565.566967,4.0,11,u4.0_i11.0,85
1369566.642002,11.0,6,u11.0_i6.0,86
1369567.704076,6.0,7,u6.0_i7.0,87
1369568.778115,7.0,11,u7.0_i11.0,88
1369569.834032,11.0,3,u11.0_i3.0,89
1369570.879964,3.0,12,u3.0_i12.0,90
1369576.992039,12.0,5,u12.0_i5.0,91
1369578.063021,5.0,1,u5.0_i1.0,92
1369579.125003,1.0,10,u1.0_i10.0,93
1369580.196011,10.0,6,u10.0_i6.0,94
1369581.283089,6.0,9,u6.0_i9.0,95
1369582.365142,9.0,11,u9.0_i11.0,96
1369583.475356,11.0,11,u11.0_i11.0,97
1369584.546372,11.0,7,u11.0_i7.0,98
1369585.605263,7.0,8,u7.0_i8.0,99
1369586.676326,8.0,2,u8.0_i2.0,100
1369587.766485,2.0,4,u2.0_i4.0,101
1369588.832511,4.0,3,u4.0_i3.0,102
1369589.891438,3.0,12,u3.0_i12.0,103
1369595.991529,12.0,9,u12.0_i9.0,104
1369597.045376,9.0,8,u9.0_i8.0,105
1369598.084312,8.0,1,u8.0_i1.0,106
1369599.159371,1.0,6,u1.0_i6.0,107
1369600.241399,6.0,11,u6.0_i11.0,108
1369601.343436,11.0,5,u11.0_i5.0,109
1369602.405571,5.0,7,u5.0_i7.0,110
1369603.480621,7.0,4,u7.0_i4.0,111
1369604.563667,4.0,3,u4.0_i3.0,112
1369605.629713,3.0,2,u3.0_i2.0,113
1369606.720832,2.0,10,u2.0_i10.0,114
1369607.802876,10.0,11,u10.0_i11.0,115
1369608.841776,11.0,12,u11.0_i12.0,116
1369614.964799,12.0,9,u12.0_i9.0,117
1369616.027787,9.0,4,u9.0_i4.0,118
1369617.081723,4.0,7,u4.0_i7.0,119
1369618.149757,7.0,6,u7.0_i6.0,120
1369619.207669,6.0,3,u6.0_i3.0,121
1369620.320962,3.0,5,u3.0_i5.0,122
1369621.37988,5.0,8,u5.0_i8.0,123
1369622.458957,8.0,11,u8.0_i11.0,124
1369623.533001,11.0,11,u11.0_i11.0,125
1369624.596038,11.0,1,u11.0_i1.0,126
1369625.662105,1.0,2,u1.0_i2.0,127
1369626.748188,2.0,10,u2.0_i10.0,128
1369627.803187,10.0,12,u10.0_i12.0,129
1369633.931168,12.0,10,u12.0_i10.0,130
1369634.99718,10.0,5,u10.0_i5.0,131
1369636.088265,5.0,6,u5.0_i6.0,132
1369637.147211,6.0,2,u6.0_i2.0,133
1369638.217199,2.0,4,u2.0_i4.0,134
1369639.288149,4.0,11,u4.0_i11.0,135
1369640.343106,11.0,9,u11.0_i9.0,136
1369641.409119,9.0,7,u9.0_i7.0,137
1369642.500323,7.0,8,u7.0_i8.0,138
1369643.574366,8.0,11,u8.0_i11.0,139
1369644.632446,11.0,3,u11.0_i3.0,140
1369645.699388,3.0,1,u3.0_i1.0,141
1369646.750343,1.0,12,u1.0_i12.0,142
1369652.854348,12.0,7,u12.0_i7.0,143
1369653.948494,7.0,2,u7.0_i2.0,144
1369655.051557,2.0,4,u2.0_i4.0,145
1369656.12161,4.0,1,u4.0_i1.0,146
1369657.183592,1.0,9,u1.0_i9.0,147
1369658.277687,9.0,6,u9.0_i6.0,148
1369659.340644,6.0,5,u6.0_i5.0,149
1369660.40361,5.0,10,u5.0_i10.0,150
1369661.469695,10.0,3,u10.0_i3.0,151
1369662.543835,3.0,8,u3.0_i8.0,152
1369663.646988,8.0,11,u8.0_i11.0,153
1369664.721064,11.0,11,u11.0_i11.0,154
1369665.792028,11.0,12,u11.0_i12.0,155
1369671.888074,12.0,8,u12.0_i8.0,156
1369672.978182,8.0,7,u8.0_i7.0,157
1369674.037115,7.0,4,u7.0_i4.0,158
1369675.111071,4.0,3,u4.0_i3.0,159
1369676.189251,3.0,6,u3.0_i6.0,160
1369677.261219,6.0,11,u6.0_i11.0,161
1369678.334193,11.0,10,u11.0_i10.0,162
1369679.39313,10.0,9,u10.0_i9.0,163
1369680.475196,9.0,5,u9.0_i5.0,164
1369681.53827,5.0,11,u5.0_i11.0,165
1369682.604339,11.0,1,u11.0_i1.0,166
1369683.663283,1.0,2,u1.0_i2.0,167
1369684.729341,2.0,12,u2.0_i12.0,168
1369690.809161,12.0,8,u12.0_i8.0,169
1369691.876251,8.0,5,u8.0_i5.0,170
1369692.927094,5.0,1,u5.0_i1.0,171
1369694.006033,1.0,4,u1.0_i4.0,172
1369695.076133,4.0,11,u4.0_i11.0,173
1369696.146193,11.0,7,u11.0_i7.0,174
1369697.212246,7.0,11,u7.0_i11.0,175
1369698.287239,11.0,2,u11.0_i2.0,176
1369699.369317,2.0,3,u2.0_i3.0,177
1369700.432299,3.0,10,u3.0_i10.0,178
1369701.479215,10.0,6,u10.0_i6.0,179
1369702.533175,6.0,9,u6.0_i9.0,180
1369703.572145,9.0,12,u9.0_i12.0,181
1369709.663985,12.0,2,u12.0_i2.0,182
1369710.738992,2.0,1,u2.0_i1.0,183
1369711.797024,1.0,3,u1.0_i3.0,184
1369712.871046,3.0,6,u3.0_i6.0,185
1369713.959093,6.0,10,u6.0_i10.0,186
1369715.044226,10.0,8,u10.0_i8.0,187
1369716.119255,8.0,7,u8.0_i7.0,188
1369717.181319,7.0,11,u7.0_i11.0,189
1369718.240263,11.0,9,u11.0_i9.0,190
1369719.315292,9.0,11,u9.0_i11.0,191
1369720.409402,11.0,4,u11.0_i4.0,192
1369721.487527,4.0,5,u4.0_i5.0,193
1369722.52632,5.0,12,u5.0_i12.0,194
1369728.634381,12.0,8,u12.0_i8.0,195
1369729.7044,8.0,3,u8.0_i3.0,196
1369730.795511,3.0,2,u3.0_i2.0,197
1369731.865513,2.0,5,u2.0_i5.0,198
1369732.952587,5.0,4,u5.0_i4.0,199
1369734.018628,4.0,1,u4.0_i1.0,200
1369735.102719,1.0,11,u1.0_i11.0,201
1369736.172644,11.0,6,u11.0_i6.0,202
1369737.238792,6.0,10,u6.0_i10.0,203
1369738.301783,10.0,7,u10.0_i7.0,204
1369739.376774,7.0,9,u7.0_i9.0,205
1369740.466818,9.0,11,u9.0_i11.0,206
1369741.525872,11.0,12,u11.0_i12.0,207
1369747.657952,12.0,2,u12.0_i2.0,208
1369748.736888,2.0,6,u2.0_i6.0,209
1369749.811959,6.0,5,u6.0_i5.0,210
1369750.886068,5.0,7,u5.0_i7.0,211
1369751.953002,7.0,9,u7.0_i9.0,212
1369753.016085,9.0,11,u9.0_i11.0,213
1369754.070082,11.0,1,u11.0_i1.0,214
1369755.149102,1.0,4,u1.0_i4.0,215
1369756.219163,4.0,8,u4.0_i8.0,216
1369757.285223,8.0,10,u8.0_i10.0,217
1369758.341141,10.0,11,u10.0_i11.0,218
1369759.415197,11.0,3,u11.0_i3.0,219
1369760.486153,3.0,12,u3.0_i12.0,220
1369766.585072,12.0,11,u12.0_i11.0,221
1369767.66117,11.0,8,u11.0_i8.0,222
1369768.728135,8.0,5,u8.0_i5.0,223
1369769.818304,5.0,9,u5.0_i9.0,224
1369770.9205,9.0,1,u9.0_i1.0,225
1369772.011576,1.0,3,u1.0_i3.0,226
1369773.069496,3.0,4,u3.0_i4.0,227
1369774.129469,4.0,11,u4.0_i11.0,228
1369775.202557,11.0,2,u11.0_i2.0,229
1369776.273555,2.0,6,u2.0_i6.0,230
1369777.33659,6.0,10,u6.0_i10.0,231
1369778.415681,10.0,7,u10.0_i7.0,232
1369779.469626,7.0,12,u7.0_i12.0,233
1369785.553433,12.0,1,u12.0_i1.0,234
1369786.623557,1.0,9,u1.0_i9.0,235
1369787.702574,9.0,11,u9.0_i11.0,236
1369788.769529,11.0,2,u11.0_i2.0,237
1369789.843523,2.0,10,u2.0_i10.0,238
1369790.927513,10.0,8,u10.0_i8.0,239
1369791.992639,8.0,4,u8.0_i4.0,240
1369793.083667,4.0,7,u4.0_i7.0,241
1369794.154734,7.0,11,u7.0_i11.0,242
1369795.228739,11.0,3,u11.0_i3.0,243
1369796.311792,3.0,5,u3.0_i5.0,244
1369797.389776,5.0,6,u5.0_i6.0,245
1369798.432746,6.0,12,u6.0_i12.0,246
1369804.508547,12.0,4,u12.0_i4.0,247
1369805.562534,4.0,9,u4.0_i9.0,248
1369806.621476,9.0,8,u9.0_i8.0,249
1369807.700543,8.0,3,u8.0_i3.0,250
1369808.758451,3.0,2,u3.0_i2.0,251
1369809.828557,2.0,10,u2.0_i10.0,252
1369810.899541,10.0,1,u10.0_i1.0,253
1369811.98154,1.0,7,u1.0_i7.0,254
1369813.028477,7.0,11,u7.0_i11.0,255
1369814.099612,11.0,11,u11.0_i11.0,256
1369815.161544,11.0,5,u11.0_i5.0,257
1369816.23253,5.0,6,u5.0_i6.0,258
1369817.283494,6.0,12,u6.0_i12.0,259
