Value,First Occurrence Position
0,"(1871028, 0)"
1,"(1872796, 0)"
0,"(1874086, 0)"
4,"(1876522, 0)"
0,"(1877815, 0)"
1,"(1880260, 0)"
0,"(1881574, 0)"
4,"(1884008, 0)"
0,"(1885304, 0)"
3,"(1887395, 0)"
0,"(1888688, 0)"
4,"(1890454, 0)"
0,"(1891746, 0)"
1,"(1893478, 0)"
0,"(1894773, 0)"
4,"(1897049, 0)"
0,"(1898344, 0)"
4,"(1900584, 0)"
0,"(1901871, 0)"
2,"(1903808, 0)"
0,"(1905100, 0)"
2,"(1907427, 0)"
0,"(1908720, 0)"
4,"(1911045, 0)"
0,"(1912339, 0)"
3,"(1914704, 0)"
0,"(1916006, 0)"
5,"(1918154, 0)"
0,"(1919453, 0)"
1,"(1921406, 0)"
0,"(1922714, 0)"
4,"(1925089, 0)"
0,"(1926396, 0)"
5,"(1928255, 0)"
0,"(1929549, 0)"
4,"(1931277, 0)"
0,"(1932574, 0)"
2,"(1934691, 0)"
0,"(1935990, 0)"
1,"(1937646, 0)"
0,"(1938939, 0)"
1,"(1940866, 0)"
0,"(1942146, 0)"
2,"(1944379, 0)"
0,"(1945673, 0)"
4,"(1948029, 0)"
0,"(1949324, 0)"
1,"(1951406, 0)"
0,"(1952700, 0)"
2,"(1955163, 0)"
0,"(1956458, 0)"
2,"(1958893, 0)"
0,"(1960171, 0)"
1,"(1962057, 0)"
0,"(1963354, 0)"
1,"(1965508, 0)"
0,"(1966786, 0)"
4,"(1968345, 0)"
0,"(1969642, 0)"
4,"(1971498, 0)"
0,"(1972776, 0)"
4,"(1974669, 0)"
0,"(1975959, 0)"
5,"(1977488, 0)"
0,"(1978783, 0)"
4,"(1981090, 0)"
0,"(1982387, 0)"
2,"(1984710, 0)"
0,"(1986006, 0)"
3,"(1988127, 0)"
0,"(1989423, 0)"
2,"(1991466, 0)"
0,"(1992761, 0)"
3,"(1994523, 0)"
0,"(1995819, 0)"
5,"(1997560, 0)"
0,"(1998861, 0)"
1,"(2001361, 0)"
0,"(2002652, 0)"
1,"(2004698, 0)"
0,"(2005974, 0)"
5,"(2008285, 0)"
0,"(2009579, 0)"
5,"(2011156, 0)"
0,"(2012435, 0)"
4,"(2013962, 0)"
0,"(2015258, 0)"
3,"(2017553, 0)"
0,"(2018845, 0)"
5,"(2021233, 0)"
0,"(2022528, 0)"
1,"(2024665, 0)"
0,"(2025961, 0)"
1,"(2027690, 0)"
0,"(2028971, 0)"
1,"(2030516, 0)"
0,"(2031795, 0)"
5,"(2033922, 0)"
0,"(2035227, 0)"
3,"(2037084, 0)"
0,"(2038379, 0)"
5,"(2040874, 0)"
0,"(2042169, 0)"
5,"(2044356, 0)"
0,"(2045632, 0)"
2,"(2047910, 0)"
0,"(2049205, 0)"
2,"(2051380, 0)"
0,"(2052668, 0)"
4,"(2054477, 0)"
0,"(2055773, 0)"
3,"(2057802, 0)"
0,"(2059096, 0)"
4,"(2061210, 0)"
0,"(2062513, 0)"
3,"(2064603, 0)"
0,"(2065897, 0)"
3,"(2067992, 0)"
0,"(2069284, 0)"
4,"(2070879, 0)"
0,"(2072184, 0)"
2,"(2074696, 0)"
0,"(2075992, 0)"
2,"(2078472, 0)"
0,"(2079751, 0)"
3,"(2082141, 0)"
0,"(2083449, 0)"
2,"(2085367, 0)"
0,"(2086663, 0)"
2,"(2088300, 0)"
0,"(2089579, 0)"
4,"(2091813, 0)"
0,"(2093106, 0)"
1,"(2095307, 0)"
0,"(2096600, 0)"
5,"(2098956, 0)"
0,"(2100251, 0)"
1,"(2102533, 0)"
0,"(2103822, 0)"
4,"(2105714, 0)"
0,"(2107021, 0)"
2,"(2109252, 0)"
0,"(2110547, 0)"
4,"(2112325, 0)"
0,"(2113621, 0)"
4,"(2115608, 0)"
0,"(2116897, 0)"
1,"(2118644, 0)"
0,"(2119938, 0)"
4,"(2122278, 0)"
0,"(2123574, 0)"
1,"(2126025, 0)"
0,"(2127319, 0)"
1,"(2129011, 0)"
0,"(2130297, 0)"
1,"(2132294, 0)"
0,"(2133574, 0)"
1,"(2135983, 0)"
0,"(2137272, 0)"
3,"(2138836, 0)"
0,"(2140141, 0)"
2,"(2142428, 0)"
0,"(2143730, 0)"
2,"(2145418, 0)"
0,"(2146694, 0)"
3,"(2148414, 0)"
0,"(2149720, 0)"
4,"(2152140, 0)"
0,"(2153434, 0)"
2,"(2155043, 0)"
0,"(2156335, 0)"
3,"(2157900, 0)"
0,"(2159207, 0)"
5,"(2161145, 0)"
0,"(2162451, 0)"
3,"(2164774, 0)"
0,"(2166071, 0)"
1,"(2168477, 0)"
0,"(2169768, 0)"
5,"(2171672, 0)"
0,"(2172967, 0)"
4,"(2175388, 0)"
0,"(2176694, 0)"
2,"(2178825, 0)"
0,"(2180126, 0)"
1,"(2182575, 0)"
0,"(2183871, 0)"
4,"(2186102, 0)"
0,"(2187397, 0)"
2,"(2189740, 0)"
0,"(2191032, 0)"
5,"(2193293, 0)"
0,"(2194590, 0)"
3,"(2196423, 0)"
0,"(2197724, 0)"
3,"(2200203, 0)"
0,"(2201484, 0)"
4,"(2203324, 0)"
0,"(2204636, 0)"
4,"(2206509, 0)"
0,"(2207803, 0)"
3,"(2209721, 0)"
0,"(2211016, 0)"
5,"(2213215, 0)"
0,"(2214511, 0)"
5,"(2216350, 0)"
0,"(2217632, 0)"
5,"(2219877, 0)"
0,"(2221156, 0)"
2,"(2222702, 0)"
0,"(2223996, 0)"
2,"(2226166, 0)"
0,"(2227460, 0)"
4,"(2229192, 0)"
0,"(2230485, 0)"
3,"(2232622, 0)"
0,"(2233918, 0)"
1,"(2236085, 0)"
0,"(2237413, 0)"
3,"(2239271, 0)"
0,"(2240565, 0)"
4,"(2242311, 0)"
0,"(2243623, 0)"
2,"(2245993, 0)"
0,"(2247289, 0)"
1,"(2249535, 0)"
0,"(2250830, 0)"
1,"(2253179, 0)"
0,"(2254465, 0)"
2,"(2256564, 0)"
0,"(2257865, 0)"
3,"(2260174, 0)"
0,"(2261469, 0)"
5,"(2263465, 0)"
0,"(2264762, 0)"
3,"(2266623, 0)"
0,"(2267928, 0)"
1,"(2270394, 0)"
0,"(2271687, 0)"
1,"(2274171, 0)"
0,"(2275447, 0)"
3,"(2277615, 0)"
0,"(2278910, 0)"
2,"(2281098, 0)"
0,"(2282390, 0)"
5,"(2284511, 0)"
0,"(2285803, 0)"
1,"(2287337, 0)"
0,"(2288631, 0)"
4,"(2291113, 0)"
0,"(2292406, 0)"
3,"(2294140, 0)"
0,"(2295432, 0)"
2,"(2297069, 0)"
0,"(2298364, 0)"
2,"(2300135, 0)"
0,"(2301423, 0)"
2,"(2303077, 0)"
0,"(2304356, 0)"
5,"(2305978, 0)"
0,"(2307273, 0)"
5,"(2308880, 0)"
0,"(2310159, 0)"
1,"(2312068, 0)"
0,"(2313374, 0)"
4,"(2315228, 0)"
0,"(2316523, 0)"
3,"(2318833, 0)"
0,"(2320129, 0)"
5,"(2322328, 0)"
0,"(2323623, 0)"
2,"(2325183, 0)"
0,"(2326478, 0)"
1,"(2328037, 0)"
0,"(2329333, 0)"
4,"(2331563, 0)"
0,"(2332858, 0)"
3,"(2335249, 0)"
0,"(2336555, 0)"
5,"(2338140, 0)"
0,"(2339442, 0)"
2,"(2341750, 0)"
0,"(2343046, 0)"
5,"(2345091, 0)"
0,"(2346385, 0)"
5,"(2348615, 0)"
0,"(2349941, 0)"
3,"(2351875, 0)"
0,"(2353172, 0)"
2,"(2355245, 0)"
0,"(2356540, 0)"
3,"(2358802, 0)"
0,"(2360097, 0)"
2,"(2362254, 0)"
0,"(2363545, 0)"
3,"(2365202, 0)"
0,"(2366493, 0)"
4,"(2368366, 0)"
0,"(2369662, 0)"
4,"(2371955, 0)"
0,"(2373233, 0)"
1,"(2374874, 0)"
0,"(2376166, 0)"
2,"(2378249, 0)"
0,"(2379552, 0)"
5,"(2382004, 0)"
0,"(2383296, 0)"
5,"(2385091, 0)"
0,"(2386369, 0)"
3,"(2388771, 0)"
0,"(2390067, 0)"
5,"(2392455, 0)"
0,"(2393748, 0)"
91,"(2393750, 0)"
0,"(2513776, 0)"
4,"(2522480, 0)"
0,"(2523781, 0)"
2,"(2525811, 0)"
0,"(2527104, 0)"
5,"(2529554, 0)"
0,"(2530848, 0)"
2,"(2533203, 0)"
0,"(2534499, 0)"
5,"(2536606, 0)"
0,"(2537900, 0)"
4,"(2540335, 0)"
0,"(2541629, 0)"
4,"(2543344, 0)"
0,"(2544623, 0)"
3,"(2546198, 0)"
0,"(2547494, 0)"
5,"(2549662, 0)"
0,"(2550958, 0)"
3,"(2553282, 0)"
0,"(2554576, 0)"
3,"(2556839, 0)"
0,"(2558119, 0)"
5,"(2560600, 0)"
0,"(2561893, 0)"
2,"(2564268, 0)"
0,"(2565559, 0)"
2,"(2567528, 0)"
0,"(2568821, 0)"
5,"(2571115, 0)"
0,"(2572408, 0)"
3,"(2574831, 0)"
0,"(2576137, 0)"
1,"(2578243, 0)"
0,"(2579538, 0)"
3,"(2581941, 0)"
0,"(2583235, 0)"
5,"(2584953, 0)"
0,"(2586247, 0)"
5,"(2588523, 0)"
0,"(2589803, 0)"
4,"(2591599, 0)"
0,"(2592893, 0)"
1,"(2595060, 0)"
0,"(2596356, 0)"
2,"(2598275, 0)"
0,"(2599570, 0)"
2,"(2601799, 0)"
0,"(2603079, 0)"
5,"(2605486, 0)"
0,"(2606778, 0)"
3,"(2608681, 0)"
0,"(2609976, 0)"
5,"(2612174, 0)"
0,"(2613469, 0)"
3,"(2615591, 0)"
0,"(2616886, 0)"
3,"(2618726, 0)"
0,"(2620007, 0)"
5,"(2622223, 0)"
0,"(2623517, 0)"
1,"(2625750, 0)"
0,"(2627042, 0)"
3,"(2629225, 0)"
0,"(2630521, 0)"
1,"(2632471, 0)"
0,"(2633766, 0)"
2,"(2636092, 0)"
0,"(2637386, 0)"
2,"(2639135, 0)"
0,"(2640412, 0)"
3,"(2642301, 0)"
0,"(2643594, 0)"
2,"(2645669, 0)"
0,"(2646966, 0)"
3,"(2648872, 0)"
0,"(2650163, 0)"
5,"(2652331, 0)"
0,"(2653627, 0)"
3,"(2655856, 0)"
0,"(2657152, 0)"
1,"(2659496, 0)"
0,"(2660787, 0)"
1,"(2662367, 0)"
0,"(2663659, 0)"
2,"(2665330, 0)"
0,"(2666622, 0)"
1,"(2668434, 0)"
0,"(2669726, 0)"
1,"(2671780, 0)"
0,"(2673065, 0)"
4,"(2674719, 0)"
0,"(2676015, 0)"
5,"(2678385, 0)"
0,"(2679678, 0)"
5,"(2681763, 0)"
0,"(2683049, 0)"
3,"(2685112, 0)"
0,"(2686418, 0)"
3,"(2688260, 0)"
0,"(2689539, 0)"
1,"(2691542, 0)"
0,"(2692847, 0)"
1,"(2695248, 0)"
0,"(2696528, 0)"
5,"(2698477, 0)"
0,"(2699774, 0)"
4,"(2701677, 0)"
0,"(2702973, 0)"
5,"(2705297, 0)"
0,"(2706590, 0)"
1,"(2709034, 0)"
0,"(2710335, 0)"
5,"(2712101, 0)"
0,"(2713393, 0)"
3,"(2715499, 0)"
0,"(2716794, 0)"
5,"(2718915, 0)"
0,"(2720208, 0)"
2,"(2722256, 0)"
0,"(2723549, 0)"
3,"(2725516, 0)"
0,"(2726810, 0)"
4,"(2729289, 0)"
0,"(2730585, 0)"
4,"(2732793, 0)"
0,"(2734081, 0)"
3,"(2735936, 0)"
0,"(2737232, 0)"
1,"(2739293, 0)"
0,"(2740586, 0)"
4,"(2742661, 0)"
0,"(2743955, 0)"
5,"(2745889, 0)"
0,"(2747184, 0)"
2,"(2749436, 0)"
0,"(2750742, 0)"
2,"(2752708, 0)"
0,"(2753986, 0)"
4,"(2756263, 0)"
0,"(2757560, 0)"
4,"(2759495, 0)"
0,"(2760773, 0)"
4,"(2763222, 0)"
0,"(2764502, 0)"
1,"(2766717, 0)"
0,"(2768011, 0)"
3,"(2769914, 0)"
0,"(2771210, 0)"
1,"(2773177, 0)"
0,"(2774470, 0)"
5,"(2776206, 0)"
0,"(2777497, 0)"
5,"(2779026, 0)"
0,"(2780305, 0)"
4,"(2781895, 0)"
0,"(2783191, 0)"
2,"(2785202, 0)"
0,"(2786497, 0)"
1,"(2788572, 0)"
0,"(2789869, 0)"
3,"(2792053, 0)"
0,"(2793347, 0)"
1,"(2794906, 0)"
0,"(2796202, 0)"
1,"(2797861, 0)"
0,"(2799150, 0)"
5,"(2801100, 0)"
0,"(2802396, 0)"
3,"(2804519, 0)"
0,"(2805812, 0)"
1,"(2808188, 0)"
0,"(2809494, 0)"
1,"(2811914, 0)"
0,"(2813192, 0)"
1,"(2815221, 0)"
0,"(2816499, 0)"
1,"(2818573, 0)"
0,"(2819852, 0)"
5,"(2822130, 0)"
0,"(2823425, 0)"
5,"(2825846, 0)"
0,"(2827139, 0)"
2,"(2829151, 0)"
0,"(2830446, 0)"
3,"(2832055, 0)"
0,"(2833348, 0)"
4,"(2835437, 0)"
0,"(2836733, 0)"
4,"(2838326, 0)"
0,"(2839604, 0)"
1,"(2841634, 0)"
0,"(2842927, 0)"
3,"(2845375, 0)"
0,"(2846671, 0)"
5,"(2848621, 0)"
0,"(2849916, 0)"
3,"(2852084, 0)"
0,"(2853379, 0)"
3,"(2855723, 0)"
0,"(2857013, 0)"
4,"(2859075, 0)"
0,"(2860368, 0)"
2,"(2862247, 0)"
0,"(2863552, 0)"
5,"(2865641, 0)"
0,"(2866937, 0)"
1,"(2868855, 0)"
0,"(2870151, 0)"
2,"(2872106, 0)"
0,"(2873410, 0)"
5,"(2875312, 0)"
0,"(2876608, 0)"
2,"(2878528, 0)"
0,"(2879823, 0)"
1,"(2881695, 0)"
0,"(2882990, 0)"
1,"(2884755, 0)"
0,"(2886031, 0)"
2,"(2887971, 0)"
0,"(2889276, 0)"
3,"(2891087, 0)"
0,"(2892381, 0)"
3,"(2894012, 0)"
0,"(2895298, 0)"
2,"(2897513, 0)"
0,"(2898808, 0)"
1,"(2901105, 0)"
0,"(2902397, 0)"
1,"(2904299, 0)"
0,"(2905579, 0)"
1,"(2907312, 0)"
0,"(2908589, 0)"
1,"(2910293, 0)"
0,"(2911570, 0)"
1,"(2913347, 0)"
0,"(2914628, 0)"
3,"(2916287, 0)"
0,"(2917592, 0)"
5,"(2919995, 0)"
0,"(2921289, 0)"
3,"(2923020, 0)"
0,"(2924315, 0)"
3,"(2926202, 0)"
0,"(2927483, 0)"
1,"(2929260, 0)"
0,"(2930556, 0)"
1,"(2932505, 0)"
0,"(2933785, 0)"
5,"(2935316, 0)"
0,"(2936609, 0)"
5,"(2938553, 0)"
0,"(2939839, 0)"
1,"(2942119, 0)"
0,"(2943412, 0)"
4,"(2945605, 0)"
0,"(2946905, 0)"
3,"(2949058, 0)"
0,"(2950354, 0)"
4,"(2952085, 0)"
0,"(2953380, 0)"
2,"(2955111, 0)"
0,"(2956406, 0)"
5,"(2958810, 0)"
0,"(2960104, 0)"
2,"(2962006, 0)"
0,"(2963303, 0)"
5,"(2965422, 0)"
0,"(2966718, 0)"
3,"(2969138, 0)"
0,"(2970432, 0)"
5,"(2972277, 0)"
0,"(2973583, 0)"
5,"(2975536, 0)"
0,"(2976827, 0)"
3,"(2978373, 0)"
0,"(2979666, 0)"
1,"(2981905, 0)"
0,"(2983209, 0)"
1,"(2985057, 0)"
0,"(2986344, 0)"
3,"(2988172, 0)"
0,"(2989465, 0)"
1,"(2991522, 0)"
0,"(2992818, 0)"
2,"(2994883, 0)"
0,"(2996190, 0)"
2,"(2997943, 0)"
0,"(2999231, 0)"
5,"(3000908, 0)"
0,"(3002211, 0)"
5,"(3004660, 0)"
0,"(3005940, 0)"
1,"(3008171, 0)"
0,"(3009465, 0)"
1,"(3011338, 0)"
0,"(3012617, 0)"
2,"(3014130, 0)"
0,"(3015426, 0)"
4,"(3017642, 0)"
0,"(3018936, 0)"
3,"(3020997, 0)"
0,"(3022289, 0)"
3,"(3024088, 0)"
0,"(3025378, 0)"
4,"(3027643, 0)"
0,"(3028935, 0)"
4,"(3031025, 0)"
0,"(3032304, 0)"
1,"(3034458, 0)"
0,"(3035752, 0)"
2,"(3037764, 0)"
0,"(3039061, 0)"
1,"(3040665, 0)"
0,"(3041962, 0)"
4,"(3043673, 0)"
0,"(3044972, 0)"
4,"(3046908, 0)"
0,"(3048187, 0)"
1,"(3049950, 0)"
0,"(3051244, 0)"
2,"(3053286, 0)"
0,"(3054583, 0)"
5,"(3057033, 0)"
0,"(3058326, 0)"
1,"(3060230, 0)"
0,"(3061524, 0)"
5,"(3063708, 0)"
0,"(3065004, 0)"
1,"(3067483, 0)"
0,"(3068779, 0)"
3,"(3070751, 0)"
0,"(3072055, 0)"
4,"(3074248, 0)"
0,"(3075545, 0)"
4,"(3077703, 0)"
0,"(3078984, 0)"
3,"(3080869, 0)"
0,"(3082163, 0)"
1,"(3083787, 0)"
0,"(3085081, 0)"
2,"(3087572, 0)"
0,"(3088873, 0)"
5,"(3090980, 0)"
0,"(3092275, 0)"
1,"(3093974, 0)"
0,"(3095270, 0)"
5,"(3097131, 0)"
0,"(3098437, 0)"
2,"(3100339, 0)"
0,"(3101634, 0)"
2,"(3103290, 0)"
0,"(3104567, 0)"
1,"(3106455, 0)"
0,"(3107767, 0)"
1,"(3109714, 0)"
0,"(3110996, 0)"
1,"(3113115, 0)"
0,"(3114395, 0)"
4,"(3116472, 0)"
0,"(3117766, 0)"
3,"(3119512, 0)"
0,"(3120808, 0)"
1,"(3122886, 0)"
0,"(3124176, 0)"
4,"(3126175, 0)"
0,"(3127469, 0)"
5,"(3129204, 0)"
0,"(3130496, 0)"
5,"(3132976, 0)"
0,"(3134256, 0)"
2,"(3136268, 0)"
0,"(3137563, 0)"
2,"(3139828, 0)"
0,"(3141121, 0)"
4,"(3143590, 0)"
0,"(3144880, 0)"
2,"(3149868, 0)"
0,"(3151163, 0)"
5,"(3153539, 0)"
0,"(3154833, 0)"
4,"(3157032, 0)"
0,"(3158328, 0)"
3,"(3160060, 0)"
0,"(3161354, 0)"
3,"(3163677, 0)"
0,"(3164957, 0)"
1,"(3167456, 0)"
0,"(3168750, 0)"
3,"(3170583, 0)"
0,"(3171884, 0)"
4,"(3173467, 0)"
0,"(3174770, 0)"
3,"(3176832, 0)"
0,"(3178125, 0)"
5,"(3180464, 0)"
0,"(3181761, 0)"
2,"(3184054, 0)"
0,"(3185348, 0)"
4,"(3187313, 0)"
0,"(3188609, 0)"
1,"(3190236, 0)"
0,"(3191530, 0)"
3,"(3193303, 0)"
0,"(3194600, 0)"
4,"(3197079, 0)"
0,"(3198375, 0)"
2,"(3200199, 0)"
0,"(3201495, 0)"
5,"(3203852, 0)"
0,"(3205147, 0)"
2,"(3207298, 0)"
0,"(3208593, 0)"
5,"(3210186, 0)"
0,"(3211479, 0)"
5,"(3213572, 0)"
0,"(3214850, 0)"
3,"(3216424, 0)"
0,"(3217720, 0)"
5,"(3219514, 0)"
0,"(3220824, 0)"
3,"(3222525, 0)"
0,"(3223819, 0)"
5,"(3225722, 0)"
0,"(3227019, 0)"
2,"(3229205, 0)"
0,"(3230498, 0)"
1,"(3232323, 0)"
0,"(3233617, 0)"
3,"(3235802, 0)"
0,"(3237096, 0)"
1,"(3238789, 0)"
0,"(3240091, 0)"
5,"(3242077, 0)"
0,"(3243369, 0)"
1,"(3245433, 0)"
0,"(3246736, 0)"
5,"(3248298, 0)"
0,"(3249592, 0)"
2,"(3251557, 0)"
0,"(3252853, 0)"
2,"(3255154, 0)"
0,"(3256441, 0)"
4,"(3258485, 0)"
0,"(3259778, 0)"
2,"(3262167, 0)"
0,"(3263462, 0)"
5,"(3265616, 0)"
0,"(3266909, 0)"
3,"(3268484, 0)"
0,"(3269779, 0)"
2,"(3271697, 0)"
0,"(3272993, 0)"
4,"(3274771, 0)"
0,"(3276067, 0)"
1,"(3278564, 0)"
0,"(3279858, 0)"
1,"(3282151, 0)"
0,"(3283431, 0)"
5,"(3285926, 0)"
0,"(3287222, 0)"
4,"(3289157, 0)"
0,"(3290451, 0)"
5,"(3292463, 0)"
0,"(3293774, 0)"
1,"(3295646, 0)"
0,"(3296942, 0)"
5,"(3299051, 0)"
0,"(3300341, 0)"
3,"(3302044, 0)"
0,"(3303337, 0)"
1,"(3305600, 0)"
0,"(3306910, 0)"
4,"(3309368, 0)"
0,"(3310670, 0)"
1,"(3312730, 0)"
0,"(3314024, 0)"
3,"(3316040, 0)"
0,"(3317347, 0)"
5,"(3319842, 0)"
0,"(3321137, 0)"
4,"(3323603, 0)"
0,"(3324898, 0)"
5,"(3326817, 0)"
0,"(3328111, 0)"
2,"(3330095, 0)"
0,"(3331388, 0)"
4,"(3333290, 0)"
0,"(3334585, 0)"
4,"(3336648, 0)"
0,"(3337939, 0)"
5,"(3340437, 0)"
0,"(3341732, 0)"
5,"(3343773, 0)"
0,"(3345054, 0)"
1,"(3346678, 0)"
0,"(3347971, 0)"
3,"(3349787, 0)"
0,"(3351090, 0)"
5,"(3353135, 0)"
0,"(3354431, 0)"
3,"(3356481, 0)"
0,"(3357784, 0)"
4,"(3359830, 0)"
0,"(3361123, 0)"
5,"(3362649, 0)"
0,"(3363945, 0)"
3,"(3365599, 0)"
0,"(3366894, 0)"
2,"(3368656, 0)"
0,"(3369953, 0)"
1,"(3372121, 0)"
0,"(3373415, 0)"
1,"(3375196, 0)"
0,"(3376489, 0)"
2,"(3378189, 0)"
0,"(3379484, 0)"
3,"(3381878, 0)"
0,"(3383183, 0)"
1,"(3385104, 0)"
0,"(3386396, 0)"
3,"(3388875, 0)"
0,"(3390171, 0)"
4,"(3392527, 0)"
0,"(3393822, 0)"
5,"(3395709, 0)"
0,"(3397004, 0)"
3,"(3399298, 0)"
0,"(3400593, 0)"
5,"(3402918, 0)"
0,"(3404214, 0)"
2,"(3406146, 0)"
0,"(3407441, 0)"
5,"(3409550, 0)"
0,"(3410842, 0)"
2,"(3413057, 0)"
0,"(3414353, 0)"
5,"(3416598, 0)"
0,"(3417893, 0)"
3,"(3419940, 0)"
0,"(3421232, 0)"
1,"(3423057, 0)"
0,"(3424352, 0)"
1,"(3426036, 0)"
0,"(3427316, 0)"
1,"(3429294, 0)"
0,"(3430578, 0)"
4,"(3433004, 0)"
0,"(3434306, 0)"
1,"(3435818, 0)"
0,"(3437112, 0)"
3,"(3438833, 0)"
0,"(3440142, 0)"
1,"(3441782, 0)"
0,"(3443074, 0)"
2,"(3445303, 0)"
0,"(3446599, 0)"
3,"(3448892, 0)"
0,"(3450187, 0)"
1,"(3452136, 0)"
0,"(3453432, 0)"
1,"(3454993, 0)"
0,"(3456271, 0)"
2,"(3458378, 0)"
0,"(3459672, 0)"
5,"(3462020, 0)"
0,"(3463316, 0)"
3,"(3465791, 0)"
0,"(3467083, 0)"
2,"(3468816, 0)"
0,"(3470110, 0)"
4,"(3472156, 0)"
0,"(3473448, 0)"
3,"(3475303, 0)"
0,"(3476599, 0)"
5,"(3478751, 0)"
0,"(3480046, 0)"
4,"(3481721, 0)"
0,"(3483027, 0)"
3,"(3485117, 0)"
0,"(3486412, 0)"
2,"(3488801, 0)"
0,"(3490093, 0)"
4,"(3491783, 0)"
0,"(3493089, 0)"
2,"(3495227, 0)"
0,"(3496522, 0)"
5,"(3498833, 0)"
0,"(3500126, 0)"
1,"(3502605, 0)"
0,"(3503900, 0)"
1,"(3505647, 0)"
0,"(3506928, 0)"
1,"(3509047, 0)"
0,"(3510329, 0)"
5,"(3512248, 0)"
0,"(3513541, 0)"
2,"(3515601, 0)"
0,"(3516896, 0)"
3,"(3518616, 0)"
0,"(3519906, 0)"
1,"(3522375, 0)"
0,"(3523668, 0)"
5,"(3525648, 0)"
0,"(3526943, 0)"
4,"(3528487, 0)"
0,"(3529782, 0)"
2,"(3532263, 0)"
0,"(3533557, 0)"
4,"(3535204, 0)"
0,"(3536506, 0)"
4,"(3538929, 0)"
0,"(3540221, 0)"
1,"(3542623, 0)"
0,"(3543918, 0)"
2,"(3546180, 0)"
0,"(3547473, 0)"
1,"(3549417, 0)"
0,"(3550719, 0)"
4,"(3553051, 0)"
0,"(3554354, 0)"
5,"(3556604, 0)"
0,"(3557896, 0)"
5,"(3559473, 0)"
0,"(3560750, 0)"
4,"(3562768, 0)"
0,"(3564073, 0)"
5,"(3566325, 0)"
0,"(3567630, 0)"
3,"(3569300, 0)"
0,"(3570595, 0)"
5,"(3572717, 0)"
0,"(3574010, 0)"
5,"(3576351, 0)"
0,"(3577632, 0)"
92,"(3577634, 0)"
0,"(3578660, 0)"
